name,title,year
Hugh Grant,Four Weddings and a Funeral,1994
Nigel Hawthorne,The Madness of King George,1995
Geoffrey Rush,Shine,1996
Robert Carlyle,The Full Monty,1997
Roberto Benigni,Life Is Beautiful (La vita è bella),1998
Kevin Spacey,American Beauty,1999
Jamie Bell,Billy Elliot,2000
Russell Crowe,A Beautiful Mind,2001
Daniel Day-Lewis,Gangs of New York,2002
Bill Murray,Lost in Translation,2003
Jamie Foxx,Ray,2004
Philip Seymour Hoffman,Capote,2005
Forest Whitaker,The Last King of Scotland,2006
Daniel Day-Lewis,There Will Be Blood,2007
Mickey Rourke,The Wrestler,2008
Colin Firth,A Single Man,2009
Colin Firth,The King's Speech,2010
Jean Dujardin,The Artist,2011
Daniel Day-Lewis,Lincoln,2012
Chiwetel Ejiofor,12 Years a Slave,2013
Eddie Redmayne,The Theory of Everything,2014
Leonardo DiCaprio,The Revenant,2015
Casey Affleck,Manchester by the Sea,2016
Gary Oldman,Darkest Hour,2017
Rami Malek,Bohemian Rhapsody,2018
Joaquin Phoenix,Joker,2019
