name,title,year
Samuel L. Jackson,Pulp Fiction,1994
Tim Roth,Rob Roy,1995
Paul Scofield,The Crucible,1996
Tom Wilkinson,The Full Monty,1997
Geoffrey Rush,Shakespeare in Love,1998
Jude Law,The Talented Mr. Ripley,1999
Benicio del Toro,Traffic,2000
Jim Broadbent,Moulin Rouge!,2001
Christopher Walken,Catch Me If You Can,2002
Bill Nighy,Love Actually,2003
Clive Owen,Closer,2004
Jake Gyllenhaal,Brokeback Mountain,2005
Alan Arkin,Little Miss Sunshine,2006
Javier Bardem,No Country for Old Men,2007
Heath Ledger,The Dark Knight,2008
Christoph Waltz,Inglourious Basterds,2009
Geoffrey Rush,The King's Speech,2010
Christopher Plummer,Beginners,2011
Christoph Waltz,Django Unchained,2012
Barkhad Abdi,Captain Phillips,2013
J. K. Simmons,Whiplash,2014
Mark Rylance,Bridge of Spies,2015
Dev Patel,Lion,2016
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",2017
Mahershala Ali,Green Book,2018
Brad Pitt,Once Upon a Time in Hollywood,2019
