name,title,year
Susan Sarandon,The Client,1994
Emma Thompson,Sense and Sensibility,1995
Brenda Blethyn,Secrets & Lies,1996
Judi Dench,Mrs Brown,1997
Cate Blanchett,Elizabeth,1998
Annette Bening,American Beauty,1999
Julia Roberts,Erin Brockovich,2000
Judi Dench,Iris,2001
Nicole Kidman,The Hours,2002
Scarlett Johansson,Lost in Translation,2003
Imelda Staunton,Vera Drake,2004
Reese Witherspoon,Walk the Line,2005
Helen Mirren,The Queen,2006
Marion Cotillard,La Vie en Rose,2007
Kate Winslet,The Reader,2008
Carey Mulligan,An Education,2009
Natalie Portman,Black Swan,2010
Meryl Streep,The Iron Lady,2011
Emmanuelle Riva,Amour,2012
Cate Blanchett,Blue Jasmine,2013
Julianne Moore,Still Alice,2014
Brie Larson,Room,2015
Emma Stone,La La Land,2016
Frances McDormand,"Three Billboards Outside Ebbing, Missouri",2017
Olivia Colman,The Favourite,2018
Renée Zellweger,Judy,2019
