name,title,year
Duncan Kenworthy,Four Weddings and a Funeral,1994
Lindsay Doran,Sense and Sensibility,1995
Saul Zaentz,The English Patient,1996
Uberto Pasolini,The Full Monty,1997
"Donna Gigliotti, Marc Norman, David Parfitt, Harvey Weinstein, Edward Zwick",Shakespeare in Love,1998
"Bruce Cohen, Dan Jinks",American Beauty,1999
"David Franzoni, Branko Lustig, Douglas Wick",Gladiator,2000
"Peter Jackson, Barrie M. Osborne, Tim Sanders, Fran Walsh",The Lord of the Rings: The Fellowship of the Ring,2001
"Robert Benmussa, Roman Polanski, Alain Sarde",The Pianist,2002
"Peter Jackson, Barrie M. Osborne, Fran Walsh",The Lord of the Rings: The Return of the King,2003
"Sandy Climan, Charles Evans Jr., Graham King, Michael Mann",The Aviator,2004
"Diana Ossana, James Schamus",Brokeback Mountain,2005
"Tracey Seaward, Christine Langan, Andy Harries",The Queen,2006
"Tim Bevan, Eric Fellner, Paul Webster",Atonement,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Grant Heslov, Ben Affleck, George Clooney",Argo,2012
"Brad Pitt, Anthony Katagas, Dede Gardner, Jeremy Kleiner, Steve McQueen",12 Years a Slave,2013
"Richard Linklater, Cathleen Sutherland",Boyhood,2014
"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon",The Revenant,2015
"Fred Berger, Jordan Horowitz, Marc Platt",La La Land,2016
"Graham Broadbent, Pete Czernin, Martin McDonagh ","Three Billboards Outside Ebbing, Missouri",2017
"Alfonso Cuarón, Gabriela Rodriguez, Nicolas Celis",Roma,2018
"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",1917,2019
