name,title,year
Paul Attanasio,Quiz Show,1994
John Hodge,Trainspotting,1995
Anthony Minghella,The English Patient,1996
"Baz Luhrmann, Craig Pearce",Romeo + Juliet,1997
Elaine May,Primary Colors,1998
Neil Jordan,The End of the Affair,1999
Stephen Gaghan,Traffic,2000
"Ted Elliott, Terry Rossio, Roger S. H. Schulman, Joe Stillman",Shrek,2001
"Charlie Kaufman, Donald Kaufman",Adaptation.,2002
"Philippa Boyens, Peter Jackson, Fran Walsh",The Lord of the Rings: The Return of the King,2003
"Alexander Payne, Jim Taylor",Sideways,2004
"Larry McMurtry, Diana Ossana",Brokeback Mountain,2005
"Jeremy Brock, Peter Morgan",The Last King of Scotland,2006
Ronald Harwood,The Diving Bell and the Butterfly,2007
Simon Beaufoy,Slumdog Millionaire,2008
"Jason Reitman, Sheldon Turner",Up in the Air,2009
Aaron Sorkin,The Social Network,2010
"Bridget O'Connor, Peter Straughan",Tinker Tailor Soldier Spy,2011
David O. Russell,Silver Linings Playbook,2012
"Steve Coogan, Jeff Pope",Philomena,2013
Anthony McCarten,The Theory of Everything,2014
"Adam McKay, Charles Randolph",The Big Short,2015
Luke Davies,Lion,2016
James Ivory,Call Me by Your Name,2017
"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee",BlacKkKlansman,2018
Taika Waititi,Jojo Rabbit,2019
