name,title,year
Robert Zemeckis,Forrest Gump,1994
Ron Howard,Apollo 13,1995
Anthony Minghella,The English Patient,1996
James Cameron,Titanic,1997
Steven Spielberg,Saving Private Ryan,1998
Sam Mendes,American Beauty,1999
Ang Lee,"Crouching Tiger, Hidden Dragon",2000
Ron Howard,A Beautiful Mind,2001
Rob Marshall,Chicago,2002
Peter Jackson,The Lord of the Rings: The Return of the King,2003
Clint Eastwood,Million Dollar Baby,2004
Ang Lee,Brokeback Mountain,2005
Martin Scorsese,The Departed,2006
"Joel Coen, Ethan Coen",No Country for Old Men,2007
Danny Boyle,Slumdog Millionaire,2008
Kathryn Bigelow,The Hurt Locker,2009
Tom Hooper,The King's Speech,2010
Michel Hazanavicius,The Artist,2011
Ben Affleck,Argo,2012
Alfonso Cuarón,Gravity,2013
Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),2014
Alejandro G. Iñárritu,The Revenant,2015
Damien Chazelle,La La Land,2016
Guillermo del Toro,The Shape of Water,2017
Alfonso Cuarón,Roma,2018
Sam Mendes,1917,2019
