name,title,year
Robert Zemeckis,Forrest Gump ,1994
Mel Gibson,Braveheart ,1995
Anthony Minghella,The English Patient ,1996
James Cameron,Titanic ,1997
Steven Spielberg,Saving Private Ryan,1998
Sam Mendes,American Beauty ,1999
Steven Soderbergh,Traffic,2000
Ron Howard,A Beautiful Mind ,2001
Roman Polanski,The Pianist,2002
Peter Jackson,The Lord of the Rings: The Return of the King ,2003
Clint Eastwood,Million Dollar Baby ,2004
Ang Lee,Brokeback Mountain,2005
Martin Scorsese,The Departed ,2006
Coen Brothers,No Country for Old Men ,2007
Danny Boyle,Slumdog Millionaire ,2008
Kathryn Bigelow,The Hurt Locker ,2009
Tom Hooper,The King's Speech ,2010
Michel Hazanavicius,The Artist ,2011
Ang Lee,Life of Pi,2012
Alfonso Cuarón,Gravity,2013
Alejandro G. Iñárritu,Birdman ,2014
Alejandro G. Iñárritu,The Revenant,2015
Damien Chazelle,La La Land,2016
Guillermo del Toro,The Shape of Water ,2017
Alfonso Cuarón,Roma,2018
Bong Joon-ho,Parasite ,2019
