name,title,year
"Wendy Finerman, Steve Tisch, Steve Starkey",Forrest Gump,1994
"Mel Gibson, Alan Ladd Jr., Bruce Davey",Braveheart,1995
Saul Zaentz,The English Patient,1996
"James Cameron, Jon Landau",Titanic,1997
"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, Marc Norman",Shakespeare in Love,1998
"Bruce Cohen, Dan Jinks",American Beauty,1999
"Douglas Wick, David Franzoni, Branko Lustig",Gladiator,2000
"Brian Grazer, Ron Howard",A Beautiful Mind,2001
Martin Richards,Chicago,2002
"Barrie M. Osborne, Peter Jackson, Fran Walsh",The Lord of the Rings: The Return of the King,2003
"Clint Eastwood, Albert S. Ruddy, Tom Rosenberg",Million Dollar Baby,2004
"Paul Haggis, Cathy Schulman",Crash,2005
Graham King,The Departed,2006
"Scott Rudin, Joel Coen, Ethan Coen",No Country for Old Men,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Grant Heslov, Ben Affleck, George Clooney",Argo,2012
"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas",12 Years a Slave,2013
"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",Birdman or (The Unexpected Virtue of Ignorance),2014
"Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar",Spotlight,2015
"Adele Romanski, Dede Gardner, Jeremy Kleiner",Moonlight,2016
"Guillermo del Toro, J. Miles Dale",The Shape of Water,2017
"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, Nick Vallelonga",Green Book,2018
"Kwak Sin-ae, Bong Joon-ho",Parasite,2019
