name,title,year
"Wendy Finerman, Steve Tisch, Steve Starkey",Forrest Gump,1994
Brian Grazer,Apollo 13,1995
Saul Zaentz,The English Patient,1996
"James Cameron, Jon Landau",Titanic,1997
"Steven Spielberg, Allison Lyon Segan, Bonnie Curtis, Ian Bryce, Mark Gordon, Gary Levinsohn",Saving Private Ryan,1998
"Bruce Cohen, Dan Jinks",American Beauty,1999
"Douglas Wick, David Franzoni, Branko Lustig",Gladiator,2000
"Baz Luhrmann, Fred Baron, Martin Brown",Moulin Rouge!,2001
Martin Richards,Chicago,2002
"Barrie M. Osborne, Peter Jackson, Fran Walsh",The Lord of the Rings: The Return of the King,2003
"Michael Mann, Graham King",The Aviator,2004
"Diana Ossana, James Schamus",Brokeback Mountain,2005
"Albert Berger, David T. Friendly, Peter Saraf, Marc Turtletaub, Ron Yerxa",Little Miss Sunshine,2006
"Scott Rudin, Joel Coen, Ethan Coen",No Country for Old Men,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Ben Affleck, George Clooney, Grant Heslov",Argo,2012
"Anthony Katagas, Jeremy Kleiner, Steve McQueen, Brad Pitt, Dede Gardner", 12 Years a Slave,2013
"Alfonso Cuarón, David Heyman",Gravity,2013
"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",Birdman or (The Unexpected Virtue of Ignorance),2014
"Dede Gardner, Jeremy Kleiner, Brad Pitt",The Big Short,2015
"Fred Berger, Jordan Horowitz, Marc Platt",La La Land,2016
"Guillermo del Toro, J. Miles Dale",The Shape of Water,2017
"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga",Green Book,2018
"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall",1917,2019
