name,title,year
Tom Hanks,Forrest Gump,1994
Nicolas Cage,Leaving Las Vegas,1995
Geoffrey Rush,Shine,1996
Jack Nicholson,As Good as It Gets,1997
Roberto Benigni,Life Is Beautiful (La vita è bella),1998
Kevin Spacey,American Beauty,1999
Benicio del Toro,Traffic,2000
Russell Crowe,A Beautiful Mind,2001
Daniel Day-Lewis,Gangs of New York,2002
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Jamie Foxx,Ray,2004
Philip Seymour Hoffman,Capote,2005
Forest Whitaker,The Last King of Scotland,2006
Daniel Day-Lewis,There Will Be Blood,2007
Sean Penn,Milk,2008
Jeff Bridges,Crazy Heart,2009
Colin Firth,The King's Speech,2010
Jean Dujardin,The Artist,2011
Daniel Day-Lewis,Lincoln,2012
Matthew McConaughey,Dallas Buyers Club,2013
Eddie Redmayne,The Theory of Everything,2014
Leonardo DiCaprio,The Revenant,2015
Denzel Washington,Fences,2016
Gary Oldman,Darkest Hour,2017
Rami Malek,Bohemian Rhapsody,2018
Joaquin Phoenix,Joker,2019
