name,title,year
Martin Landau,Ed Wood,1994
Ed Harris,Apollo 13,1995
Cuba Gooding Jr.,Jerry Maguire,1996
Robin Williams,Good Will Hunting,1997
Robert Duvall,A Civil Action,1998
Michael Caine,The Cider House Rules,1999
Albert Finney,Erin Brockovich,2000
Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,2001
Christopher Walken,Catch Me If You Can,2002
Tim Robbins,Mystic River,2003
Morgan Freeman,Million Dollar Baby,2004
Paul Giamatti,Cinderella Man,2005
Eddie Murphy,Dreamgirls,2006
Javier Bardem,No Country for Old Men,2007
Heath Ledger,The Dark Knight,2008
Christoph Waltz,Inglourious Basterds,2009
Christian Bale,The Fighter,2010
Christopher Plummer,Beginners,2011
Tommy Lee Jones,Lincoln,2012
Jared Leto,Dallas Buyers Club,2013
J. K. Simmons,Whiplash,2014
Idris Elba,Beasts of No Nation,2015
Mahershala Ali,Moonlight,2016
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",2017
Mahershala Ali,Green Book,2018
Brad Pitt,Once Upon a Time in Hollywood,2019
