name,title,year
Jodie Foster,Nell,1994
Susan Sarandon,Dead Man Walking,1995
Frances McDormand,Fargo,1996
Helen Hunt,As Good as It Gets,1997
Gwyneth Paltrow,Shakespeare in Love,1998
Annette Bening,American Beauty,1999
Julia Roberts,Erin Brockovich,2000
Halle Berry,Monster's Ball,2001
Renée Zellweger,Chicago,2002
Charlize Theron,Monster,2003
Hilary Swank,Million Dollar Baby,2004
Reese Witherspoon,Walk the Line,2005
Helen Mirren,The Queen,2006
Julie Christie,Away from Her,2007
Meryl Streep,Doubt,2008
Sandra Bullock,The Blind Side,2009
Natalie Portman,Black Swan,2010
Viola Davis,The Help,2011
Jennifer Lawrence,Silver Linings Playbook,2012
Cate Blanchett,Blue Jasmine,2013
Julianne Moore,Still Alice,2014
Brie Larson,Room,2015
Emma Stone,La La Land,2016
Frances McDormand,"Three Billboards Outside Ebbing, Missouri",2017
Glenn Close,The Wife,2018
Renée Zellweger,Judy,2019
