name,title,year
Dianne Wiest,Bullets over Broadway,1994
Kate Winslet,Sense and Sensibility,1995
Lauren Bacall,The Mirror Has Two Faces,1996
Kim Basinger,L.A. Confidential,1997
Gloria Stuart,Titanic,1997
Kathy Bates,Primary Colors,1998
Angelina Jolie,"Girl, Interrupted",1999
Judi Dench,Chocolat,2000
Helen Mirren,Gosford Park,2001
Catherine Zeta-Jones,Chicago,2002
Renée Zellweger,Cold Mountain,2003
Cate Blanchett,The Aviator,2004
Rachel Weisz,The Constant Gardener,2005
Jennifer Hudson,Dreamgirls,2006
Ruby Dee,American Gangster,2007
Kate Winslet,The Reader,2008
Mo'Nique,Precious,2009
Melissa Leo,The Fighter,2010
Octavia Spencer,The Help,2011
Anne Hathaway,Les Misérables,2012
Lupita Nyong'o,12 Years a Slave,2013
Patricia Arquette,Boyhood,2014
Alicia Vikander,The Danish Girl,2015
Viola Davis,Fences,2016
Allison Janney,"I, Tonya",2017
Emily Blunt,A Quiet Place,2018
Laura Dern,Marriage Story,2019
