name,title,year
Eric Roth, Forrest Gump,1994
Emma Thompson, Sense and Sensibility,1995
Billy Bob Thornton, Sling Blade,1996
"Curtis Hanson, Brian Helgeland", L.A. Confidential,1997
Scott Frank, Out of Sight,1998
"Alexander Payne, Jim Taylor",Election,1999
Stephen Gaghan,Traffic,2000
Akiva Goldsman,A Beautiful Mind,2001
David Hare,The Hours,2002
"Shari Springer Berman, Robert Pulcini",American Splendor,2003
"Alexander Payne, Jim Taylor",Sideways,2004
"Larry McMurtry, Diana Ossana",Brokeback Mountain,2005
William Monahan,The Departed,2006
"Joel Coen, Ethan Coen",No Country for Old Men,2007
Simon Beaufoy,Slumdog Millionaire,2008
"Jason Reitman, Sheldon Turner",Up in the Air,2009
Aaron Sorkin,The Social Network,2010
"Alexander Payne, Nat Faxon, Jim Rash",The Descendants,2011
Chris Terrio,Argo,2012
Billy Ray,Captain Phillips,2013
Graham Moore,The Imitation Game,2014
"Adam McKay, Charles Randolph",The Big Short,2015
Eric Heisserer,Arrival,2016
James Ivory,Call Me by Your Name,2017
"Nicole Holofcener, Jeff Whitty",Can You Ever Forgive Me?,2018
Taika Waititi,Jojo Rabbit,2019
