name,title,year
Richard Curtis,Four Weddings and a Funeral,1994
Randall Wallace,Braveheart,1995
"Joel Coen, Ethan Coen",Fargo,1996
"James L. Brooks, Mark Andrus",As Good as It Gets,1997
"Marc Norman, Tom Stoppard",Shakespeare in Love,1998
Alan Ball,American Beauty,1999
Kenneth Lonergan,You Can Count On Me,2000
Julian Fellowes,Gosford Park,2001
Michael Moore,Bowling for Columbine,2002
Sofia Coppola,Lost in Translation,2003
Charlie Kaufman,Eternal Sunshine of the Spotless Mind,2004
"Paul Haggis, Bobby Moresco",Crash,2005
Michael Arndt,Little Miss Sunshine,2006
Diablo Cody,Juno,2007
Dustin Lance Black,Milk,2008
Mark Boal,The Hurt Locker,2009
Christopher Nolan,Inception,2010
Woody Allen,Midnight in Paris,2011
Mark Boal,Zero Dark Thirty,2012
Spike Jonze,Her,2013
"Wes Anderson, Hugo Guinness",The Grand Budapest Hotel,2014
"Tom McCarthy, Josh Singer",Spotlight,2015
Barry Jenkins,Moonlight,2016
Jordan Peele,Get Out,2017
Bo Burnham,Eighth Grade,2018
"Bong Joon-ho, Han Jin-won",Parasite,2019
