name,title,year
Mike Newell,Four Weddings and a Funeral,1994
Michael Radford,Il Postino: The Postman,1995
Joel Coen,Fargo,1996
Baz Luhrmann,Romeo + Juliet,1997
Peter Weir,The Truman Show,1998
Pedro Almodóvar,All About My Mother (Todo sobre mi madre),1999
Ang Lee,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",2000
Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,2001
Roman Polanski,The Pianist,2002
Peter Weir,Master and Commander: The Far Side of the World,2003
Mike Leigh,Vera Drake,2004
Ang Lee,Brokeback Mountain,2005
Paul Greengrass,United 93,2006
"Joel Coen, Ethan Coen",No Country for Old Men,2007
Danny Boyle,Slumdog Millionaire,2008
Kathryn Bigelow,The Hurt Locker,2009
David Fincher,The Social Network,2010
Michel Hazanavicius,The Artist,2011
Ben Affleck,Argo,2012
Alfonso Cuarón,Gravity,2013
Richard Linklater,Boyhood,2014
Alejandro G. Iñárritu,The Revenant,2015
Damien Chazelle,La La Land,2016
Guillermo del Toro,The Shape of Water,2017
Alfonso Cuarón,Roma,2018
Sam Mendes,1917,2019
