name,title,year
Quentin Tarantino and Roger Avary ,Pulp Fiction,1994
Christopher McQuarrie ,The Usual Suspects,1995
Mike Leigh ,Secrets & Lies,1996
Gary Oldman,Nil by Mouth,1997
Andrew Niccol ,The Truman Show,1998
Charlie Kaufman ,Being John Malkovich,1999
Cameron Crowe ,Almost Famous,2000
Jean-Pierre Jeunet and Guillaume Laurant ,Amélie (Le fabuleux destin d'Amélie Poulain),2001
Pedro Almodóvar ,Talk to Her (Hable con ella),2002
Tom McCarthy,The Station Agent,2003
Charlie Kaufman ,Eternal Sunshine of the Spotless Mind,2004
Paul Haggis and Bobby Moresco ,Crash,2005
Michael Arndt ,Little Miss Sunshine,2006
Diablo Cody ,Juno,2007
Martin McDonagh ,In Bruges,2008
Mark Boal ,The Hurt Locker,2009
David Seidler ,The King's Speech,2010
Michel Hazanavicius ,The Artist,2011
Quentin Tarantino ,Django Unchained,2012
Eric Warren Singer and David O. Russell ,American Hustle,2013
Wes Anderson and Hugo Guinness ,The Grand Budapest Hotel,2014
Tom McCarthy and Josh Singer ,Spotlight,2015
Kenneth Lonergan ,Manchester by the Sea,2016
Martin McDonagh ,"Three Billboards Outside Ebbing, Missouri",2017
Deborah Davis and Tony McNamara,The Favourite,2018
Han Jin Won and Bong Joon-ho,Parasite,2019
