name,title,year
Martin Landau,Ed Wood,1994
Kevin Spacey,The Usual Suspects,1995
Cuba Gooding Jr.,Jerry Maguire,1996
Robin Williams,Good Will Hunting,1997
James Coburn,Affliction,1998
Michael Caine,The Cider House Rules,1999
Benicio del Toro,Traffic,2000
Jim Broadbent,Iris,2001
Chris Cooper,Adaptation.,2002
Tim Robbins,Mystic River,2003
Morgan Freeman,Million Dollar Baby,2004
George Clooney,Syriana,2005
Alan Arkin,Little Miss Sunshine,2006
Javier Bardem,No Country for Old Men,2007
Heath Ledger,The Dark Knight,2008
Christoph Waltz,Inglourious Basterds,2009
Christian Bale,The Fighter,2010
Christopher Plummer,Beginners,2011
Christoph Waltz,Django Unchained,2012
Jared Leto,Dallas Buyers Club,2013
J. K. Simmons,Whiplash,2014
Mark Rylance,Bridge of Spies,2015
Mahershala Ali,Moonlight,2016
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",2017
Mahershala Ali,Green Book,2018
Brad Pitt,Once Upon a Time in Hollywood,2019
