name,title,year
Dianne Wiest,Bullets over Broadway,1994
Mira Sorvino,Mighty Aphrodite,1995
Juliette Binoche,The English Patient,1996
Kim Basinger,L.A. Confidential,1997
Judi Dench,Shakespeare in Love,1998
Angelina Jolie,"Girl, Interrupted",1999
Marcia Gay Harden,Pollock,2000
Jennifer Connelly,A Beautiful Mind,2001
Catherine Zeta-Jones,Chicago,2002
Ren?e Zellweger,Cold Mountain,2003
Cate Blanchett,The Aviator,2004
Rachel Weisz,The Constant Gardener,2005
Jennifer Hudson,Dreamgirls,2006
Tilda Swinton,Michael Clayton,2007
Pen?lope Cruz,Vicky Cristina Barcelona,2008
Mo'Nique,Precious,2009
Melissa Leo,The Fighter,2010
Octavia Spencer,The Help,2011
Anne Hathaway,Les Mis?rables,2012
Lupita Nyong'o,12 Years a Slave,2013
Patricia Arquette,Boyhood,2014
Alicia Vikander,The Danish Girl,2015
Viola Davis,Fences,2016
Allison Janney,"I, Tonya",2017
Regina King,If Beale Street Could Talk,2018
Laura Dern,Marriage Story,2019
