name,title,year
"Wendy Finerman, Steve Tisch, and Steve Starkey",Forrest Gump,1994
"Mel Gibson, Alan Ladd Jr., and Bruce Davey",Braveheart,1995
Saul Zaentz,The English Patient,1996
James Cameron and Jon Landau,Titanic,1997
"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",Shakespeare in Love,1998
Bruce Cohen and Dan Jinks,American Beauty,1999
"Douglas Wick, David Franzoni, and Branko Lustig",Gladiator,2000
Brian Grazer and Ron Howard,A Beautiful Mind,2001
Martin Richards,Chicago,2002
"Barrie M. Osborne, Peter Jackson, and Fran Walsh",The Lord of the Rings: The Return of the King,2003
"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg",Million Dollar Baby,2004
Paul Haggis and Cathy Schulman,Crash,2005
Graham King,The Departed,2006
"Scott Rudin, Joel Coen, and Ethan Coen",No Country for Old Men,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, and Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Grant Heslov, Ben Affleck, and George Clooney",Argo,2012
"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",12 Years a Slave,2013
"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole",Birdman or (The Unexpected Virtue of Ignorance),2014
"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",Spotlight,2015
"Adele Romanski, Dede Gardner, and Jeremy Kleiner",Moonlight,2016
Guillermo del Toro and J. Miles Dale,The Shape of Water,2017
"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",Green Book,2018
Kwak Sin-ae and Bong Joon-ho,Parasite,2019
