name,title,year
Eric Roth,Forrest Gump,1994
Emma Thompson,Sense and Sensibility,1995
Billy Bob Thornton,Sling Blade,1996
Curtis Hanson & Brian Helgeland,L.A. Confidential,1997
Bill Condon,Gods and Monsters,1998
John Irving,The Cider House Rules,1999
Stephen Gaghan,Traffic,2000
Akiva Goldsman,A Beautiful Mind,2001
Ronald Harwood,The Pianist,2002
"Philippa Boyens, Peter Jackson & Fran Walsh",The Lord of the Rings: The Return of the King,2003
Alexander Payne & Jim Taylor,Sideways,2004
Larry McMurtry & Diana Ossana,Brokeback Mountain,2005
William Monahan,The Departed,2006
Coen Brothers,No Country for Old Men,2007
Simon Beaufoy,Slumdog Millionaire,2008
Geoffrey S. Fletcher,Precious,2009
Aaron Sorkin,The Social Network,2010
"Nat Faxon, Alexander Payne & Jim Rash",The Descendants,2011
Chris Terrio,Argo,2012
John Ridley,12 Years a Slave,2013
Graham Moore,The Imitation Game,2014
Adam McKay & Charles Randolph,The Big Short,2015
Screenplay: Barry Jenkins; Story: Tarell Alvin McCraney,Moonlight,2016
James Ivory,Call Me by Your Name,2017
"Spike Lee, David Rabinowitz, Charlie Wachtel & Kevin Willmott",BlacKkKlansman,2018
Taika Waititi,Jojo Rabbit,2019
