name,title,year
Screenplay: Quentin Tarantino; Story: Roger Avary & Tarantino ,Pulp Fiction,1994
Christopher McQuarrie,The Usual Suspects,1995
Coen Brothers,Fargo,1996
Ben Affleck & Matt Damon,Good Will Hunting,1997
Marc Norman & Tom Stoppard,Shakespeare in Love,1998
Alan Ball,American Beauty,1999
Cameron Crowe,Almost Famous,2000
Julian Fellowes,Gosford Park,2001
Pedro Almod?var,Talk to Her,2002
Sofia Coppola,Lost in Translation,2003
"Screenplay: Charlie Kaufman; Story: Pierre Bismuth, Michel Gondry & Kaufman ",Eternal Sunshine of the Spotless Mind,2004
Screenplay: Paul Haggis & Bobby Moresco; Story: Haggis ,Crash,2005
Michael Arndt,Little Miss Sunshine,2006
Diablo Cody,Juno,2007
Dustin Lance Black,Milk,2008
Mark Boal,The Hurt Locker,2009
David Seidler,The King's Speech,2010
Woody Allen,Midnight in Paris,2011
Quentin Tarantino,Django Unchained,2012
Spike Jonze,Her,2013
"Armando Bo, Alexander Dinelaris Jr., Nicol?s Giacobone & Alejandro G. I??rritu",Birdman,2014
Tom McCarthy & Josh Singer,Spotlight,2015
Kenneth Lonergan,Manchester by the Sea,2016
Jordan Peele,Get Out,2017
"Brian Currie, Peter Farrelly & Nick Vallelonga",Green Book,2018
Screenplay: Bong Joon-ho & Han Jin-won; Story: Bong, Parasite,2019
