name,title,year
"Wendy Finerman, Steve Tisch, and Steve Starkey",Forrest Gump,1994
Brian Grazer,Apollo 13,1995
Saul Zaentz,The English Patient,1996
James Cameron and Jon Landau,Titanic,1997
"Steven Spielberg, Allison Lyon Segan, Bonnie Curtis, Ian Bryce, Mark Gordon, and Gary Levinsohn",Saving Private Ryan,1998
Bruce Cohen and Dan Jinks,American Beauty,1999
"Douglas Wick, David Franzoni, and Branko Lustig",Gladiator,2000
"Baz Luhrmann, Fred Baron, and Martin Brown",Moulin Rouge!,2001
Martin Richards,Chicago,2002
"Barrie M. Osborne, Peter Jackson, and Fran Walsh",The Lord of the Rings: The Return of the King,2003
Michael Mann and Graham King,The Aviator,2004
Diana Ossana and James Schamus,Brokeback Mountain,2005
"Albert Berger, David T. Friendly, Peter Saraf, Marc Turtletaub, and Ron Yerxa",Little Miss Sunshine,2006
"Scott Rudin, Joel Coen, and Ethan Coen",No Country for Old Men,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, and Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Ben Affleck, George Clooney, and Grant Heslov",Argo,2012
"Anthony Katagas, Jeremy Kleiner, Steve McQueen, Brad Pitt, and Dede Gardner", 12 Years a Slave,2013
Alfonso Cuarón and David Heyman,Gravity,2014
"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole",Birdman or (The Unexpected Virtue of Ignorance),2015
"Dede Gardner, Jeremy Kleiner, and Brad Pitt",The Big Short,2016
"Fred Berger, Jordan Horowitz, and Marc Platt",La La Land,2017
Guillermo del Toro and J. Miles Dale,The Shape of Water,2018
"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, and Nick Vallelonga",Green Book,2019
"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",1917,2020
