name,title,year
Dianne Wiest,Bullets over Broadway,1994
Kate Winslet,Sense and Sensibility,1995
Lauren Bacall,The Mirror Has Two Faces,1996
Kim Basinger,L.A. Confidential,1997
Gloria Stuart,Titanic,1998
Kathy Bates,Primary Colors,1999
Angelina Jolie,"Girl, Interrupted",2000
Judi Dench,Chocolat,2001
Helen Mirren,Gosford Park,2002
Catherine Zeta-Jones,Chicago,2003
Renée Zellweger,Cold Mountain,2004
Cate Blanchett,The Aviator,2005
Rachel Weisz,The Constant Gardener,2006
Jennifer Hudson,Dreamgirls,2007
Ruby Dee,American Gangster,2008
Kate Winslet,The Reader,2009
Mo'Nique,Precious,2010
Melissa Leo,The Fighter,2011
Octavia Spencer,The Help,2012
Anne Hathaway,Les Misérables,2013
Lupita Nyong'o,12 Years a Slave,2014
Patricia Arquette,Boyhood,2015
Alicia Vikander,The Danish Girl,2016
Viola Davis,Fences,2017
Allison Janney,"I, Tonya",2018
Emily Blunt,A Quiet Place,2019
Laura Dern,Marriage Story,2020
